Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 147400  Y 169800
X 143400  Y 172800
X 140400  Y 178600
X 138000  Y 182600
X 136400  Y 185400
X 135600  Y 203400
X 129800  Y 206200
X 130000  Y 211800
X 142800  Y 237200
X 133600  Y 244800
X 143200  Y 246000
X 133200  Y 250600
X 143800  Y 256000
X 124800  Y 262200
X 129600  Y 266000
X 127800  Y 272800
X 145400  Y 273400
X 130800  Y 280800
X 132800  Y 292200
X 148400  Y 305600
X 149000  Y 322400
X 172400  Y 336200
X 157600  Y 332000
X 162400  Y 319000
X 166400  Y 306200
X 159400  Y 296400
X 166600  Y 295600
X 166200  Y 284200
X 169000  Y 281800
X 149800  Y 273400
X 163800  Y 268800
X 160200  Y 265400
X 165000  Y 263600
X 160800  Y 261600
X 174600  Y 245400
X 162600  Y 208400
X 161200  Y 201400
X 164000  Y 196200
X 169000  Y 193400
X 158000  Y 184800
X 153600  Y 184000
X 151400  Y 180600
X 156600  Y 180000
X 158400  Y 163400
X 169800  Y 157600
X 164800  Y 157400
X 176000  Y 157800
X 192000  Y 176400
X 184800  Y 195400
X 175000  Y 195400
X 195000  Y 205400
X 195400  Y 210400
X 191200  Y 211000
X 199200  Y 213600
X 185000  Y 213800
X 195200  Y 214400
X 190200  Y 215800
X 185000  Y 216200
X 185000  Y 218600
X 189600  Y 220200
X 181400  Y 229200
X 196400  Y 238400
X 182000  Y 240200
X 181400  Y 245400
X 197000  Y 247800
X 197400  Y 252200
X 188000  Y 265600
X 179800  Y 267200
X 180200  Y 271000
X 189000  Y 271200
X 195800  Y 272000
X 198200  Y 274800
X 192800  Y 306000
X 187800  Y 306200
X 199000  Y 308400
X 195000  Y 310600
X 192200  Y 336200
X 211000  Y 323800
X 211000  Y 318800
X 211000  Y 313000
X 217000  Y 278400
X 202400  Y 272200
X 207200  Y 272200
X 213000  Y 257800
X 218800  Y 257600
X 205600  Y 257600
X 220000  Y 252400
X 212200  Y 251600
X 201800  Y 250400
X 206000  Y 249600
X 219400  Y 246400
X 212600  Y 243000
X 219400  Y 215200
X 219000  Y 212000
X 200000  Y 210000
X 199800  Y 205400
X 224400  Y 196400
X 224200  Y 185600
X 210200  Y 182200
X 210600  Y 153600
X 203200  Y 153600
X 207000  Y 153600
X 236200  Y 138600
X 234200  Y 156200
X 236000  Y 171400
X 233200  Y 175000
X 225200  Y 214400
X 231000  Y 214600
X 230000  Y 217800
X 234000  Y 217800
X 248800  Y 219400
X 228400  Y 221000
X 234200  Y 221600
X 230000  Y 224000
X 248800  Y 225000
X 233000  Y 225800
X 227400  Y 226200
X 237400  Y 232400
X 239000  Y 242200
X 241200  Y 251200
X 237400  Y 259200
X 239200  Y 262400
X 234600  Y 266800
X 236200  Y 272200
X 229600  Y 289800
X 226000  Y 290000
X 241200  Y 298000
X 227000  Y 300000
X 237600  Y 301200
X 246200  Y 306400
X 226600  Y 307200
X 240600  Y 308800
X 237800  Y 311400
X 226800  Y 314000
X 227800  Y 323200
X 230400  Y 326800
X 230400  Y 337200
X 262800  Y 332600
X 271800  Y 331600
X 250400  Y 331200
X 261600  Y 326800
X 250400  Y 326600
X 270400  Y 324000
X 271400  Y 317800
X 270800  Y 290800
X 266000  Y 290200
X 261400  Y 288200
X 259200  Y 282000
X 270000  Y 281200
X 262800  Y 270600
X 269200  Y 267600
X 253800  Y 267200
X 274200  Y 264400
X 253600  Y 259200
X 258400  Y 253400
X 250400  Y 252800
X 273000  Y 242000
X 261800  Y 234600
X 262600  Y 228600
X 252800  Y 225000
X 257600  Y 224800
X 262200  Y 224600
X 254600  Y 219800
X 252400  Y 215200
X 270600  Y 206200
X 257200  Y 198800
X 257200  Y 196200
X 257200  Y 193600
X 258800  Y 179000
X 262000  Y 158200
X 257000  Y 154200
X 262400  Y 152400
X 272600  Y 136400
X 285400  Y 118800
X 289000  Y 122000
X 294800  Y 126200
X 286600  Y 130000
X 293200  Y 133000
X 292800  Y 139000
X 288400  Y 140800
X 276200  Y 142400
X 284400  Y 142600
X 275600  Y 206200
X 294800  Y 209800
X 280400  Y 220800
X 286800  Y 220800
X 277600  Y 242800
X 292800  Y 252000
X 285600  Y 255000
X 276600  Y 255800
X 294200  Y 262400
X 286400  Y 265400
X 276000  Y 271800
X 277800  Y 283400
X 292800  Y 296800
X 277400  Y 318000
X 296800  Y 321000
X 300200  Y 332000
X 307200  Y 321400
X 306600  Y 310400
X 308400  Y 301000
X 318800  Y 301000
X 300800  Y 294400
X 310600  Y 290600
X 324200  Y 281000
X 300800  Y 275800
X 315800  Y 275600
X 314200  Y 268000
X 315200  Y 259600
X 320200  Y 259600
X 309400  Y 254000
X 301800  Y 252000
X 309400  Y 248200
X 320600  Y 210000
X 307600  Y 198400
X 300000  Y 194400
X 313000  Y 179800
X 303200  Y 178400
X 305400  Y 174800
X 300600  Y 174400
X 309800  Y 167600
X 312200  Y 151400
X 317400  Y 147000
X 313600  Y 142800
X 328200  Y 139000
X 339200  Y 151000
X 336800  Y 158200
X 346600  Y 165600
X 339000  Y 168200
X 333200  Y 174400
X 325600  Y 180000
X 333000  Y 183000
X 348200  Y 184000
X 349200  Y 192400
X 346400  Y 204400
X 332600  Y 257200
X 344800  Y 267600
X 333800  Y 267600
X 328000  Y 269400
X 344800  Y 270200
X 333800  Y 270200
X 344800  Y 272800
X 333800  Y 272800
X 333800  Y 275400
X 344800  Y 275400
X 334200  Y 290800
X 347400  Y 302400
X 347800  Y 319200
X 340000  Y 321000
X 359600  Y 299400
X 372400  Y 287200
X 354800  Y 230800
X 364400  Y 225600
X 364400  Y 222800
X 364400  Y 220000
X 358400  Y 219400
X 364400  Y 217400
X 358400  Y 213000
X 367600  Y 203400
X 372400  Y 202800
X 374400  Y 199200
X 364000  Y 199000
X 369400  Y 198600
X 368800  Y 194200
X 353000  Y 188800
X 369600  Y 188600
X 365200  Y 188000
X 368000  Y 183600
X 364400  Y 180800
X 350400  Y 179200
X 375800  Y 217600
X 375800  Y 220200
X 375800  Y 223000
X 375800  Y 225600
X 377800  Y 267200

Drill: .035  Tool: 2  Feed: 197  Speed: 550
X 173979  Y 318760
X 189727  Y 318760
X 181853  Y 318760
X 197601  Y 318760

Drill: .06299  Tool: 3  Feed: 89  Speed: 550
X 371386  Y 237930

Drill: .06299  Tool: 4  Feed: 89  Speed: 550
X 189400  Y 146000
X 206000  Y 146000
X 222265  Y 146067
X 370986  Y 253330

End of Listing
