Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 146800  Y 169800
X 143400  Y 174000
X 140400  Y 178600
X 138000  Y 182600
X 132800  Y 205600
X 128200  Y 207400
X 128800  Y 213400
X 142800  Y 237200
X 133600  Y 244800
X 143200  Y 246000
X 133200  Y 250600
X 143800  Y 256000
X 124800  Y 262200
X 129600  Y 266000
X 127800  Y 272800
X 145400  Y 273400
X 130800  Y 280800
X 132800  Y 292200
X 148400  Y 305600
X 149000  Y 322400
X 172400  Y 336200
X 157600  Y 332000
X 162400  Y 319000
X 166400  Y 306200
X 159400  Y 296400
X 166200  Y 291800
X 172000  Y 284600
X 172000  Y 281000
X 149800  Y 273400
X 163800  Y 268800
X 160200  Y 265400
X 165000  Y 263600
X 160800  Y 261600
X 174600  Y 245400
X 162600  Y 208400
X 161200  Y 201400
X 163600  Y 196200
X 169000  Y 193400
X 153600  Y 185400
X 158000  Y 184800
X 151400  Y 180600
X 156600  Y 180400
X 158400  Y 163400
X 166200  Y 160600
X 171800  Y 159200
X 195600  Y 130000
X 175000  Y 195400
X 184800  Y 195400
X 195000  Y 205400
X 195400  Y 210400
X 191200  Y 211000
X 199200  Y 213600
X 185000  Y 213800
X 195200  Y 214400
X 190200  Y 215800
X 185000  Y 216200
X 185000  Y 218600
X 189600  Y 220200
X 181400  Y 229200
X 196400  Y 238400
X 182000  Y 240200
X 181400  Y 245400
X 197000  Y 247800
X 197400  Y 252200
X 189200  Y 265600
X 189000  Y 271200
X 182800  Y 271800
X 195800  Y 272000
X 198200  Y 274800
X 183400  Y 275800
X 199000  Y 305600
X 192800  Y 306000
X 187800  Y 306200
X 192200  Y 336200
X 201800  Y 299600
X 209600  Y 296200
X 213800  Y 279200
X 202400  Y 272200
X 207200  Y 272200
X 213000  Y 257800
X 218800  Y 257600
X 205600  Y 257600
X 218800  Y 252200
X 212200  Y 251600
X 201800  Y 250400
X 206400  Y 250200
X 220200  Y 246600
X 212600  Y 243000
X 219400  Y 215200
X 219000  Y 212000
X 200000  Y 210000
X 199800  Y 205400
X 224400  Y 186000
X 210200  Y 182200
X 207400  Y 169200
X 222000  Y 168800
X 209200  Y 153600
X 203000  Y 153600
X 206000  Y 153600
X 205200  Y 130600
X 211800  Y 124000
X 236200  Y 138600
X 246800  Y 149600
X 238200  Y 149800
X 236000  Y 171400
X 233200  Y 175000
X 225200  Y 196600
X 225200  Y 214400
X 231000  Y 214600
X 230000  Y 217800
X 234000  Y 217800
X 228400  Y 221000
X 234200  Y 221600
X 230000  Y 224000
X 248400  Y 225600
X 233000  Y 225800
X 227400  Y 226200
X 237400  Y 232400
X 239000  Y 242200
X 238000  Y 251200
X 242000  Y 257200
X 248200  Y 258000
X 237400  Y 259200
X 246600  Y 264600
X 232800  Y 265600
X 239600  Y 268400
X 241000  Y 273200
X 234400  Y 284200
X 240800  Y 290800
X 235400  Y 293400
X 238400  Y 295600
X 234200  Y 303600
X 231000  Y 311000
X 237600  Y 313800
X 245600  Y 319600
X 232600  Y 321000
X 238000  Y 331000
X 252600  Y 334800
X 249800  Y 328400
X 270600  Y 326400
X 265400  Y 317200
X 268000  Y 276800
X 257600  Y 274800
X 249800  Y 270600
X 257400  Y 269000
X 269200  Y 267600
X 274200  Y 264400
X 258400  Y 262800
X 253200  Y 262400
X 273200  Y 260000
X 256800  Y 257400
X 273000  Y 242000
X 262400  Y 227800
X 258600  Y 225400
X 253400  Y 225400
X 255800  Y 220200
X 251000  Y 220200
X 253400  Y 217200
X 270600  Y 206200
X 257200  Y 198800
X 257200  Y 196200
X 257200  Y 193600
X 257200  Y 178800
X 257000  Y 173600
X 267200  Y 166400
X 259200  Y 162800
X 264600  Y 162200
X 261000  Y 153200
X 253800  Y 153000
X 251600  Y 148600
X 263000  Y 148000
X 284000  Y 119600
X 289600  Y 123800
X 297400  Y 126400
X 288800  Y 132000
X 275200  Y 136600
X 292800  Y 139000
X 284400  Y 142200
X 276600  Y 142400
X 275600  Y 206200
X 282400  Y 208600
X 296200  Y 209400
X 280800  Y 214800
X 286800  Y 220800
X 280800  Y 221200
X 276400  Y 223600
X 293600  Y 227000
X 277600  Y 242800
X 294200  Y 252000
X 285600  Y 255000
X 277200  Y 256000
X 294200  Y 262400
X 286400  Y 265400
X 296800  Y 280600
X 299400  Y 329200
X 308400  Y 333400
X 305000  Y 318400
X 302200  Y 305400
X 316800  Y 300400
X 309600  Y 295800
X 315200  Y 283400
X 304200  Y 274000
X 321000  Y 271200
X 313200  Y 262400
X 317400  Y 262400
X 305200  Y 253800
X 301800  Y 252000
X 308600  Y 248200
X 319000  Y 225400
X 316000  Y 219400
X 322000  Y 217000
X 322000  Y 208000
X 306000  Y 197600
X 313000  Y 179800
X 303200  Y 178400
X 300600  Y 174400
X 302400  Y 170400
X 309800  Y 167600
X 312200  Y 151400
X 317400  Y 147000
X 313600  Y 142800
X 328200  Y 139000
X 339200  Y 151000
X 336800  Y 158200
X 346600  Y 165600
X 339000  Y 168200
X 332400  Y 174600
X 325600  Y 180000
X 348600  Y 184400
X 332200  Y 188200
X 349200  Y 192400
X 338400  Y 200600
X 329800  Y 215600
X 342800  Y 216600
X 334000  Y 267400
X 344400  Y 267400
X 334000  Y 270000
X 344400  Y 270000
X 334000  Y 272600
X 344400  Y 272800
X 334000  Y 275200
X 344400  Y 275400
X 326600  Y 287400
X 345200  Y 291200
X 334000  Y 294600
X 334000  Y 307600
X 341400  Y 323200
X 354000  Y 301800
X 369000  Y 290800
X 364400  Y 225400
X 364400  Y 223000
X 364400  Y 220600
X 364400  Y 218200
X 372200  Y 205600
X 371200  Y 197000
X 353000  Y 188800
X 366600  Y 183000
X 350400  Y 179200
X 376000  Y 218200
X 376000  Y 220600
X 376000  Y 223000
X 376000  Y 225400

Drill: .035  Tool: 2  Feed: 197  Speed: 550
X 173979  Y 318760
X 189727  Y 318760
X 181853  Y 318760
X 197601  Y 318760

Drill: .06299  Tool: 3  Feed: 89  Speed: 550
X 371386  Y 237930

Drill: .06299  Tool: 4  Feed: 89  Speed: 550
X 189400  Y 146000
X 206000  Y 146000
X 222265  Y 146067
X 370986  Y 253330

End of Listing
